official_name,official_name_citation,organization_type,organization_type_citation,category,category_citation,relevance_explanation,relevance_explanation_citation,confidence_level,confidence_level_citation,official_page_link,official_page_link_citation,status,status_citation
Astrodynamics & Space Robotics Laboratory (ASRL),https://mae.ucf.edu/ASRL/,Lab,https://mae.ucf.edu/ASRL/,Robotics / Space Dynamics,https://mae.ucf.edu/ASRL/,"Focuses on orbital mechanics, astrodynamics, and the control of robotic systems for space exploration applications.",https://mae.ucf.edu/ASRL/,Direct,https://mae.ucf.edu/ASRL/,https://mae.ucf.edu/ASRL/,https://mae.ucf.edu/ASRL/,Active,https://mae.ucf.edu/ASRL/
Propulsion & Energy Research Laboratory (PERL),https://mae.ucf.edu/PERL/,Lab,https://mae.ucf.edu/PERL/,Aerospace / Propulsion,https://mae.ucf.edu/PERL/group/,"Conducts high-pressure reacting flow research with applications in advanced aerospace propulsion systems, including rockets and hypersonics.",https://mae.ucf.edu/PERL/,Direct,https://mae.ucf.edu/PERL/,https://mae.ucf.edu/PERL/,https://mae.ucf.edu/PERL/,Active,https://mae.ucf.edu/PERL/
Center for Advanced Turbomachinery and Energy Research (CATER),https://cater.cecs.ucf.edu/,Center,https://cater.cecs.ucf.edu/,Aerospace / Propulsion,https://cater.cecs.ucf.edu/hyper/,"Focuses on turbomachinery and advanced technologies for aviation and space propulsion, including hypersonic research platforms.",https://cater.cecs.ucf.edu/,Direct,https://cater.cecs.ucf.edu/,https://cater.cecs.ucf.edu/,https://cater.cecs.ucf.edu/,Active,https://cater.cecs.ucf.edu/
Astronomy Society at UCF,https://planets.ucf.edu/astroclub/,Student Organization,https://planets.ucf.edu/astroclub/about/,Astronomy,https://planets.ucf.edu/astroclub/,An RSO based out of the Department of Physics that engages students in observational astronomy and space-related outreach.,https://planets.ucf.edu/astroclub/about/,Direct,https://planets.ucf.edu/astroclub/,https://planets.ucf.edu/astroclub/,https://planets.ucf.edu/astroclub/,Active,https://planets.ucf.edu/astroclub/
Students for the Exploration and Development of Space (SEDS UCF),https://knightconnect.campuslabs.com/engage/organization/sedsucf,Student Organization,https://knightconnect.campuslabs.com/engage/organization/sedsucf,Space,https://knightconnect.campuslabs.com/engage/organization/sedsucf,"Promotes space exploration through student projects, leadership development, and education about the benefits of space.",https://knightconnect.campuslabs.com/engage/organization/sedsucf,Direct,https://knightconnect.campuslabs.com/engage/organization/sedsucf,https://knightconnect.campuslabs.com/engage/organization/sedsucf,https://knightconnect.campuslabs.com/engage/organization/sedsucf,Active,https://knightconnect.campuslabs.com/engage/organization/sedsucf
American Institute of Aeronautics and Astronautics (AIAA UCF),https://www.aiaaucf.com/,Student Organization,https://www.aiaaucf.com/,Aerospace,https://www.aiaaucf.com/,"A project-based aerospace engineering student organization and student chapter of the national AIAA, focusing on professional development and engineering projects.",https://www.aiaaucf.com/,Direct,https://www.aiaaucf.com/,https://www.aiaaucf.com/,https://www.aiaaucf.com/,Active,https://www.aiaaucf.com/
Knights Experimental Rocketry (KXR),https://www.kxrucf.com/,Design Team / Student Organization,https://www.kxrucf.com/,Rockets,https://www.kxrucf.com/,"UCF's official competitive rocketry team that designs, builds, and launches experimental rockets for international competitions.",https://www.kxrucf.com/,Direct,https://www.kxrucf.com/,https://www.kxrucf.com/,https://www.kxrucf.com/,Active,https://www.kxrucf.com/
Knights Satellite Club (KnightSat),https://knightconnect.campuslabs.com/engage/organization/knightsatclub,Design Team / Student Organization,https://knightconnect.campuslabs.com/engage/organization/knightsatclub,Space / Satellites,https://knightconnect.campuslabs.com/engage/organization/knightsatclub,"A student center for satellite and space systems development, providing opportunities for students to design and build CubeSats and other payloads.",https://knightconnect.campuslabs.com/engage/organization/knightsatclub,Direct,https://knightconnect.campuslabs.com/engage/organization/knightsatclub,https://knightconnect.campuslabs.com/engage/organization/knightsatclub,https://knightconnect.campuslabs.com/engage/organization/knightsatclub,Active,https://knightconnect.campuslabs.com/engage/organization/knightsatclub
Lunar Knights Mining Club,https://sites.google.com/lunarknights.org/lunarknights/home,Design Team / Student Organization,https://sites.google.com/lunarknights.org/lunarknights/home,Robotics / Space,https://sites.google.com/lunarknights.org/lunarknights/home,"Participates in the NASA Robotic Mining Competition (Lunabotics), designing and building robotic rovers for lunar mining simulations.",https://sites.google.com/lunarknights.org/lunarknights/home,Direct,https://sites.google.com/lunarknights.org/lunarknights/home,https://sites.google.com/lunarknights.org/lunarknights/home,https://sites.google.com/lunarknights.org/lunarknights/home,Active,https://sites.google.com/lunarknights.org/lunarknights/home
UCF Planetary Science Journal Club,https://planets.ucf.edu/ucf-planetary-science-journal-club/,Student Group,https://planets.ucf.edu/ucf-planetary-science-journal-club/,Planetary Science,https://planets.ucf.edu/ucf-planetary-science-journal-club/,A seminar series and group where students and faculty discuss the latest research in planetary sciences.,https://planets.ucf.edu/ucf-planetary-science-journal-club/,Direct,https://planets.ucf.edu/ucf-planetary-science-journal-club/,https://planets.ucf.edu/ucf-planetary-science-journal-club/,https://planets.ucf.edu/ucf-planetary-science-journal-club/,Active,https://planets.ucf.edu/ucf-planetary-science-journal-club/
Robinson Observatory,https://planets.ucf.edu/robinson-observatory/,Facility / Group,https://planets.ucf.edu/robinson-observatory/,Astronomy,https://planets.ucf.edu/robinson-observatory/,"The university's astronomical observatory, serving as a hub for both educational observation and community outreach in astronomy.",https://planets.ucf.edu/robinson-observatory/,Direct,https://planets.ucf.edu/robinson-observatory/,https://planets.ucf.edu/robinson-observatory/,https://planets.ucf.edu/robinson-observatory/,Active,https://planets.ucf.edu/robinson-observatory/
Society of Women in Space Exploration (SWISE) UCF Chapter,https://knightconnect.campuslabs.com/engage/organization/swise,Student Organization,https://knightconnect.campuslabs.com/engage/organization/swise,Space,https://knightconnect.campuslabs.com/engage/organization/swise,An RSO that supports and promotes women and gender minorities in space exploration fields through networking and professional development.,https://knightconnect.campuslabs.com/engage/organization/swise,Direct,https://knightconnect.campuslabs.com/engage/organization/swise,https://knightconnect.campuslabs.com/engage/organization/swise,https://knightconnect.campuslabs.com/engage/organization/swise,Active,https://knightconnect.campuslabs.com/engage/organization/swise
AIAA Design/Build/Fly (DBF) Team,https://www.aiaaucf.com/,Design Team,https://www.instagram.com/aiaaucf/,Aerospace,https://www.aiaaucf.com/,A sub-team within AIAA UCF that competes in the international AIAA Design/Build/Fly aircraft competition.,https://www.aiaaucf.com/,Direct,https://www.aiaaucf.com/,https://www.aiaaucf.com/,https://www.aiaaucf.com/,Active,https://www.instagram.com/aiaaucf/
Project BEAM,https://sedsucf.org/projects/,Design Team,https://sedsucf.org/projects/,Rockets / Propulsion,https://sedsucf.org/projects/,A project within SEDS UCF focused on developing custom solid rocket motor propellants for high-power rocketry.,https://sedsucf.org/projects/,Direct,https://sedsucf.org/projects/,https://sedsucf.org/projects/,https://sedsucf.org/projects/,Active,https://sedsucf.org/projects/
Student Spaceflight Experiments Program (SSEP) at UCF,https://www.ucf.edu/news/ucf-rosen-college-helps-shape-the-future-of-space-hospitality-and-tourism/,University-Affiliated Group,https://www.facebook.com/UCF/posts/1275651087935830/,Space,https://www.facebook.com/UCF/posts/1275651087935830/,A collaborative student group that designs and flies experiments to the International Space Station as part of a national program.,https://www.facebook.com/UCF/posts/1275651087935830/,Direct,https://www.facebook.com/UCF/posts/1275651087935830/,http://ssep.ncesse.org/,https://www.facebook.com/UCF/posts/1275651087935830/,Active,https://www.ucf.edu/news/ucf-rosen-college-helps-shape-the-future-of-space-hospitality-and-tourism/
Central Florida Remote Sensing Lab (CFRSL),https://www.ece.ucf.edu/people-groups/labs/remote-sensing-lab/,Lab,https://www.ece.ucf.edu/people-groups/labs/remote-sensing-lab/,Aerospace / Remote Sensing,https://www.ece.ucf.edu/people-groups/labs/remote-sensing-lab/,"Participates in the development of advanced microwave remote sensing instruments for NASA and NOAA, focusing on Earth observation.",https://www.ece.ucf.edu/people-groups/labs/remote-sensing-lab/,Strongly Adjacent,https://www.ece.ucf.edu/people-groups/labs/remote-sensing-lab/,https://www.cecs.ucf.edu/cfrsl/,https://www.cecs.ucf.edu/cfrsl/,Active,https://www.cecs.ucf.edu/cfrsl/
Robotics Club at UCF,https://www.instagram.com/ucf_robotics/,Student Organization,https://www.instagram.com/ucf_robotics/,Robotics,https://www.instagram.com/ucf_robotics/,"While broad, the club frequently participates in space-related competitions such as the NASA Robotic Mining Competition.",https://www.instagram.com/ucf_robotics/,Strongly Adjacent,https://www.instagram.com/ucf_robotics/,https://linktr.ee/ucfrobotics,https://www.instagram.com/ucf_robotics/,Active,https://www.instagram.com/ucf_robotics/
Mars Society UCF Chapter,https://www.linkedin.com/in/wayne-neumaier-1a769618,Student Organization,https://www.linkedin.com/in/wayne-neumaier-1a769618,Space,https://www.linkedin.com/in/wayne-neumaier-1a769618,An earlier chapter of the international Mars Society that advocated for Mars exploration; currently inactive on campus.,https://www.linkedin.com/in/wayne-neumaier-1a769618,Direct,https://www.linkedin.com/in/wayne-neumaier-1a769618,https://www.marssociety.org/,https://www.linkedin.com/in/wayne-neumaier-1a769618,Historical,https://www.linkedin.com/in/wayne-neumaier-1a769618
Microgravity Research Group,https://sciences.ucf.edu/news/category/swh-microgravity-center/,Research Group,https://sciences.ucf.edu/news/category/swh-microgravity-center/,Space,https://sciences.ucf.edu/news/category/swh-microgravity-center/,The original research group founded in 1992 that eventually evolved into the Stephen W. Hawking Center for Microgravity Research.,https://sciences.ucf.edu/news/category/swh-microgravity-center/,Direct,https://sciences.ucf.edu/news/category/swh-microgravity-center/,https://sciences.ucf.edu/physics/microgravity/,https://sciences.ucf.edu/news/category/swh-microgravity-center/,Historical,https://sciences.ucf.edu/news/category/swh-microgravity-center/
Knightmare Engineering Club,https://x.com/knightmare_vexu,Student Organization,https://x.com/knightmare_vexu,Robotics,https://x.com/knightmare_vexu,A competitive VexU robotics team at UCF; strongly adjacent to aerospace engineering students and planetary robotics projects.,https://x.com/knightmare_vexu,Strongly Adjacent,https://x.com/knightmare_vexu,https://x.com/knightmare_vexu,https://x.com/knightmare_vexu,Active,https://x.com/knightmare_vexu
