Name,Type,Category,Relevance,Confidence,Direct Link
Institute for Fusion Studies (IFS),institute,Plasma,"National center for plasma physics and fusion energy science at UT. It is more energy-oriented than aerospace, but still clearly adjacent through plasma physics relevant to space environments and propulsion concepts.",Strongly Adjacent,https://physics.utexas.edu/research/centers-institutes/institute-fusion-studies
Texas Robotics,center / research community,Robotics,"Campus-wide robotics entity connecting multiple labs and autonomy research efforts. It is not dedicated to space, but robotics and long-term autonomy are meaningfully adjacent to space operations and exploration systems.",Strongly Adjacent,https://robotics.utexas.edu/
Center for Autonomy,center,Robotics,"Research center focused on autonomous systems through controls, machine learning, and formal methods. It is space-adjacent because these capabilities map directly to autonomous vehicles and robotic mission systems.",Strongly Adjacent,https://autonomy.oden.utexas.edu/
Digital Landscape Laboratory (DLL Lab),lab,Remote Sensing,GIS and remote sensing facility in Geography supporting modeling and characterization of Earth processes. It is loosely space-adjacent because satellite remote sensing is part of its core technical stack.,Loosely Adjacent,https://cla.utexas.edu/geography/research/labs-facilities/dll-lab.html
GIS Center (Geography and the Environment),center / facility,Remote Sensing,"UT Geography center supporting teaching and research in GIS and remote sensing. It is more Earth-observation oriented than space-oriented, but still relevant to satellite data and geospatial sensing.",Loosely Adjacent,https://liberalarts.utexas.edu/geography/undergraduate-program/gis-center.html
Senior Spacecraft Mission Design Project Showcase,departmental program,Space,"Recurring aerospace capstone sequence where teams design spacecraft and missions for space-related challenges, including lunar and Mars concepts. It is a student-facing space systems program embedded in the department.",Direct,https://www.ae.utexas.edu/undergraduate/senior-spacecraft-mission-design-project-showcase
Space Systems and Astrodynamics (ASE/EM research area),departmental research area,Space,"Aerospace research area covering trajectory and mission design, nonlinear estimation, space geodesy, remote sensing, and satellite applications. It is a direct institutional home for space systems research.",Direct,https://www.ae.utexas.edu/research/space-systems-and-astrodynamics
"Controls, Autonomy and Robotics (ASE/EM research area)",departmental research area,Robotics,"Aerospace research area applying controls, autonomy, and robotics to navigation, guidance, and flight mechanics of vehicles across domains. It is strongly adjacent because those methods are central to spacecraft and robotic space systems.",Strongly Adjacent,https://www.ae.utexas.edu/research/controls-autonomy-robotics
Aerothermodynamics and Fluid Mechanics (ASE/EM research area),departmental research area,Plasma,"Aerospace research area including hypersonics, combustion, plasma science and engineering, and gas dynamics in space science. It is not an organization in the club sense, but it is a meaningful UT research grouping for space-adjacent work.",Strongly Adjacent,https://www.ae.utexas.edu/research/aerothermodynamics-and-fluid-mechanics
Texas Eclipse Ballooning Project (TEBP),capstone project team,High-Altitude Balloons,"Aerospace senior capstone team that built and launched a high-altitude balloon payload for eclipse research. It is clearly space-adjacent, but appears to be a one-off project team rather than a standing organization.",Direct,https://www.ae.utexas.edu/news/a-stratospheric-view-with-the-texas-eclipse-ballooning-project
Texas Space Society,student org,Space,"Widely referenced as a UT student space organization, but I did not confirm a current official UT-hosted page in this pass. It likely belongs in the main table if an official campus or HornsLink page is available.",Loosely Adjacent,
