"Name","Type","Category","Relevance","Confidence","Direct Link"
"MIT Department of Earth, Atmospheric and Planetary Sciences (EAPS)","Departmental program / research entity","Planetary, Remote Sensing, Astronomy","EAPS research explicitly includes exoplanets, planetary formation, solar system bodies, space instrumentation, and remote sensing.","Direct","https://eaps.mit.edu/"
"EAPS Program in Planetary Science (PPS)","Departmental program","Planetary, Astronomy","MIT’s planetary science program covers solar-system and exoplanet studies using telescopic observation, spacecraft data, orbital mechanics, astrodynamics, and remote sensing.","Direct","https://eaps.mit.edu/education/graduate-program/planetary-science/"
"Planetary Science + Astronomy concentration (EAPS)","Departmental program","Planetary, Astronomy","Undergraduate concentration centered on planetary science and astronomy; relevant as a student-facing MIT unit for space-science training.","Strongly Adjacent","https://eaps.mit.edu/education/undergraduate-program/major-programs/"
"Astronomy @ MIT","Cross-department academic program","Astronomy, Astrophysics, Planetary","MIT’s umbrella astronomy/astrophysics program spans Physics, EAPS, and AeroAstro, connecting multiple university-affiliated astronomy and planetary efforts.","Strongly Adjacent","https://web.mit.edu/astronomy/"
"Physics Astrophysics Observation, Instrumentation, and Experiment","Faculty research area","Astronomy, Astrophysics","Physics research area focused on astrophysics across many wavebands and gravitational waves, with instrument development for ground and space studies.","Direct","https://physics.mit.edu/research-areas/astrophysics-observation-instrumentation-and-experiment/"
"Varon Lab","Research lab","Remote Sensing","Uses satellite remote sensing and computing to study atmospheric composition; not space-systems work, but clearly adjacent through satellite data exploitation.","Strongly Adjacent","https://varon.mit.edu/"
"MIT Planetary Astronomy Laboratory (PAL)","Research lab","Planetary, Astronomy","EAPS/astronomy group studying the solar system with telescopes and multiple observational techniques.","Direct","https://occult.mit.edu/"
"Robust Robotics Group","Research lab","Robotics, UAV/Avionics","Builds unmanned aerial vehicles and other autonomous robots that can operate without GPS or maps; highly relevant for autonomous flight and space-adjacent robotics methods.","Strongly Adjacent","https://www.csail.mit.edu/research/robust-robotics-group"
"Reliable Autonomous Systems Lab @ MIT (REALM)","Research lab","Robotics, UAV/Avionics","Listed by AeroAstro among its labs, and likely relevant to autonomous aerospace systems, but the retrieved material did not directly confirm specific space/UAV focus in the source snippets reviewed.","Loosely Adjacent","https://aeroastro.mit.edu/research/"
"Autonomy and Embedded Robotics Accelerated (AERA) Research Group","Research lab","Robotics, UAV/Avionics","Appears in AeroAstro’s lab listings and likely overlaps with autonomous aerial/embedded systems, but I did not verify a clearly space-specific or UAV-specific mission statement from the sources reviewed.","Loosely Adjacent","https://aeroastro.mit.edu/research/"
"Minor in Astronomy","Departmental program","Astronomy","MIT officially offers the minor jointly through EAPS and Physics; it is clearly astronomy-related, but it is an academic program rather than a standalone group/lab/team.","Loosely Adjacent","https://catalog.mit.edu/schools/science/earth-atmospheric-planetary-sciences/"
