official_name,official_name_citation,type,type_citation,category,category_citation,relevance_explanation,relevance_explanation_citation,confidence_rating,confidence_rating_citation,official_url,official_url_citation,verification_status,verification_status_citation
Blueshift Undergraduate Astronomy Club,https://www.astro.columbia.edu/content/blueshift,Student Organization,https://www.astro.columbia.edu/content/blueshift,Astronomy & Astrophysics,https://www.astro.columbia.edu/content/blueshift,"The primary undergraduate club for students interested in astronomy and astrophysics, hosting observing sessions and educational events.",https://www.astro.columbia.edu/content/blueshift,Direct,https://www.astro.columbia.edu/content/blueshift,https://www.astro.columbia.edu/content/blueshift,https://www.astro.columbia.edu/content/blueshift,Verified,https://www.astro.columbia.edu/content/blueshift
AIAA Columbia (Design Build Fly Team),https://www.me.columbia.edu/student-organizations,Student Organization (Team),https://www.me.columbia.edu/student-organizations,Aerospace & Aviation,https://www.me.columbia.edu/student-organizations,"A student team focused on the annual AIAA Design/Build/Fly competition, involving the design and construction of unmanned aerial systems.",https://www.me.columbia.edu/student-organizations,Strongly Adjacent,https://www.me.columbia.edu/student-organizations,,,Verified,https://www.me.columbia.edu/student-organizations
Columbia Air & Space Law Association (CASLA),https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals,Student Organization,https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals,Space Law,https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals,A student organization at Columbia Law School focused on the legal aspects of aviation and space exploration; currently inactive.,https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals,Direct,https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals,,,Needs further verification,https://www.law.columbia.edu/community-life/student-life/student-organizations-journals/all-student-organizations-and-journals
Columbia Astrophysics Laboratory (CAL),https://www.astro.columbia.edu/content/astrophysics-lab,Research Laboratory,https://www.astro.columbia.edu/content/astrophysics-lab,Astronomy & Astrophysics,https://www.astro.columbia.edu/content/astrophysics-lab,A joint research effort between the Astronomy and Physics departments focusing on instrumentation and observational astronomy.,https://www.astro.columbia.edu/content/astrophysics-lab,Direct,https://www.astro.columbia.edu/content/astrophysics-lab,https://www.astro.columbia.edu/content/astrophysics-lab,https://www.astro.columbia.edu/content/astrophysics-lab,Verified,https://www.astro.columbia.edu/content/astrophysics-lab
Theoretical High Energy Astrophysics (THEA) Group,https://thea.astro.columbia.edu/,Research Group,https://thea.astro.columbia.edu/,Astrophysics,https://thea.astro.columbia.edu/,"Specializes in the theory of black holes, neutron stars, and high-energy cosmic phenomena.",https://thea.astro.columbia.edu/,Direct,https://thea.astro.columbia.edu/,https://thea.astro.columbia.edu/,https://thea.astro.columbia.edu/,Verified,https://thea.astro.columbia.edu/
Columbia Fusion Research Center (CFRC),https://fusion.columbia.edu/,Research Center,https://fusion.columbia.edu/,Plasma Physics,https://fusion.columbia.edu/,"Investigates plasma physics and fusion energy, including applications in plasma astrophysics and space-related control systems.",https://fusion.columbia.edu/research,Strongly Adjacent,https://fusion.columbia.edu/,https://fusion.columbia.edu/,https://fusion.columbia.edu/,Verified,https://fusion.columbia.edu/
Lamont-Doherty Earth Observatory (LDEO),https://lamont.columbia.edu/,Research Institute,https://lamont.columbia.edu/,Planetary Science & Remote Sensing,https://lamont.columbia.edu/remote-sensing,"Conducts extensive research in satellite remote sensing and planetary science, studying Earth and other planetary bodies.",https://lamont.columbia.edu/remote-sensing,Strongly Adjacent,https://lamont.columbia.edu/remote-sensing,https://lamont.columbia.edu/,https://lamont.columbia.edu/,Verified,https://lamont.columbia.edu/
Spaceflight Human Factors and Robotics Research,https://www.me.columbia.edu/faculty/mike-massimino,Research Focus,https://www.me.columbia.edu/faculty/mike-massimino,Aerospace Engineering,https://www.me.columbia.edu/faculty/mike-massimino,"Research led by Professor Mike Massimino into astronaut performance, extra-vehicular activity, and space robotics.",https://www.me.columbia.edu/faculty/mike-massimino,Direct,https://www.me.columbia.edu/faculty/mike-massimino,https://www.me.columbia.edu/faculty/mike-massimino,https://www.me.columbia.edu/faculty/mike-massimino,Verified,https://www.me.columbia.edu/faculty/mike-massimino
Columbia Robotics,https://robotics.columbia.edu/,Research Center,https://robotics.columbia.edu/,Robotics & Autonomous Systems,https://robotics.columbia.edu/,Focuses on advanced robotics and autonomous systems with applications in satellite control and planetary exploration.,https://www.me.columbia.edu/control-robotics-design-and-manufacturing,Strongly Adjacent,https://robotics.columbia.edu/,https://robotics.columbia.edu/,https://robotics.columbia.edu/,Verified,https://robotics.columbia.edu/
Columbia Environmental Health Sciences UAV Project,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight,Research Project,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight,UAVs & Remote Sensing,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight,Uses custom-engineered UAVs for collecting environmental data and monitoring air quality.,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight,Loosely Adjacent,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight,,,Verified,https://www.publichealth.columbia.edu/news/video-environmental-health-sciences-drone-takes-flight
